# Provenance: branch-only commits touching each file in the migration delta.
# Columns: file <TAB> origin commits (newest first, %h:%an:%s truncated)
.github/workflows/ci.yaml	5ea290845:Jiakun Yan:improve cmake support for charm on top of reconve|81bd69bdd:Ritvik Rao:merge main|db242b5e9:Matthias Diener:Merge branch 'main' into reconverse-suport
CMakeLists.txt	931d720d1:Ritvik Rao:cuda fixes|fdbe226d2:Ritvik Rao:Fix GPU/CPU build breakage exposed by the hapi me|98694d42c:Ritvik Rao:Merge branch 'cupti_lb_reconverse_hapi' into reco|6841dfe62:Ritvik Rao:fix CMK_OPTIMIZE redefinition|e337bccd8:Ritvik Rao:New build for reconverse|2a98e2ed7:Ritvik Rao:build fix
Dockerfile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
README.md	43651fd6f:Ritvik Rao:add reconverse-linux-arm8 build|e337bccd8:Ritvik Rao:New build for reconverse
benchmarks/charm++/cuda/gpudirect/latency/latency.C	5acece198:Aditya Bhosale:Update latency benchmark|954893b58:Aditya Bhosale:Update latency benchmark|22c350a57:Aditya Bhosale:Update latency benchmark|332a30639:Aditya Bhosale:Update latency benchmark
buildcmake	c1471a669:Laxmikant Kale:buildcmake: don't force RECONVERSE=ON for eve|98694d42c:Ritvik Rao:Merge branch 'cupti_lb_reconverse_hapi' into reco|e337bccd8:Ritvik Rao:New build for reconverse|50d524b37:Sh0g0-1758:Merge branch 'reconverse-support' into hapi_porta|4c9b86fb9:Anant Jain:working hapi port|5ea290845:Jiakun Yan:improve cmake support for charm on top of reconve
buildold	6841dfe62:Ritvik Rao:fix CMK_OPTIMIZE redefinition
cmake/converse.cmake	50dbead86:Laxmikant Kale:cmake: charm_cxx_utils must wait for charmxi-|15f774f0f:Laxmikant Kale:build: stop forcing RECONVERSE into every bui|98694d42c:Ritvik Rao:Merge branch 'cupti_lb_reconverse_hapi' into reco|86db40707:Ritvik Rao:copy persistent.h from reconverse|9794fead2:Ritvik Rao:copy conv-rdma from reconverse|e337bccd8:Ritvik Rao:New build for reconverse
cmake/detect-features.cmake	6841dfe62:Ritvik Rao:fix CMK_OPTIMIZE redefinition|02ec45859:Ritvik Rao:cmake changes
cmake/fetch_reconverse/CMakeLists.txt	3f8847602:Laxmikant Kale:fetch_reconverse: pin reconverse by commit SH|86db40707:Ritvik Rao:copy persistent.h from reconverse|9794fead2:Ritvik Rao:copy conv-rdma from reconverse|dfb6b119d:Ritvik Rao:cmake changes for building shmem with reconverse|adac3c4ce:Ritvik Rao:fix cmake|75bba6989:Ritvik Rao:add charm config
contrib/ci.vim	3c63232e5:Matthias Diener:(untested) changes to charmc
doc/charm++/manual.rst	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/ampi/Cjacobi3D/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/ampi/Cjacobi3D/jacobi.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d-imbalance/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d-imbalance/jacobi2d.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d-imbalance/jacobi2d.ci	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d-imbalance/jacobi2d.cu	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d-imbalance/jacobi2d.h	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d/Makefile	6f7a30957:Shourya Goel:verify and jacobi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|bca7c3641:Shourya Goel:changes to prevent double free, cudastreamsynch|dbc3815c7:shourya goel:mpi smp for chareArray and group|66b8e92e5:Anant Jain:patches for bugs|4c9b86fb9:Anant Jain:working hapi port
examples/charm++/cuda/gpudirect/jacobi2d/jacobi2d.C	6f7a30957:Shourya Goel:verify and jacobi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|bca7c3641:Shourya Goel:changes to prevent double free, cudastreamsynch|79ccdda22:shourya goel:isend/irecv for mpi smp|4c9b86fb9:Anant Jain:working hapi port
examples/charm++/cuda/gpudirect/jacobi2d/jacobi2d.ci	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/jacobi2d/jacobi2d.cu	6f7a30957:Shourya Goel:verify and jacobi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|66b8e92e5:Anant Jain:patches for bugs|4c9b86fb9:Anant Jain:working hapi port
examples/charm++/cuda/gpudirect/jacobi2d/jacobi2d.h	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/gpudirect/sdag/sdag.C	4c9b86fb9:Anant Jain:working hapi port
examples/charm++/cuda/gpudirect/sdag/sdag.cu	4c9b86fb9:Anant Jain:working hapi port
examples/charm++/cuda/gpudirect/verify/Makefile	931d720d1:Ritvik Rao:cuda fixes|34eca2f42:Ritvik Rao:verify example: default CHARM_DIR to the in-tree |6f7a30957:Shourya Goel:verify and jacobi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|bca7c3641:Shourya Goel:changes to prevent double free, cudastreamsynch|c2597d03d:Shourya Goel:fixes to run intermittently
examples/charm++/cuda/gpudirect/verify/charmrun_hapi	6f7a30957:Shourya Goel:verify and jacobi
examples/charm++/cuda/gpudirect/verify/helper.sh	6f7a30957:Shourya Goel:verify and jacobi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|c2597d03d:Shourya Goel:fixes to run intermittently|79ccdda22:shourya goel:isend/irecv for mpi smp|5ecffbb01:shourya goel:a couple patches|f2df1c6a7:Anant Jain:fix qd issue
examples/charm++/cuda/gpudirect/verify/verbose	c2597d03d:Shourya Goel:fixes to run intermittently
examples/charm++/cuda/gpudirect/verify/verify.C	6f7a30957:Shourya Goel:verify and jacobi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|bca7c3641:Shourya Goel:changes to prevent double free, cudastreamsynch|c2597d03d:Shourya Goel:fixes to run intermittently|79ccdda22:shourya goel:isend/irecv for mpi smp|dbc3815c7:shourya goel:mpi smp for chareArray and group
examples/charm++/cuda/gpudirect/verify/verify.cu	4c9b86fb9:Anant Jain:working hapi port
examples/charm++/cuda/stencil2d/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/stencil2d/stencil2d.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/stencil2d/stencil2d.ci	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/stencil2d/stencil2d.cu	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/vecadd/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/vecadd/vecadd.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/vecadd/vecadd.ci	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/cuda/vecadd/vecadd.cu	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/osu_bw/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/osu_bw/osu_bw.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/osu_bw/osu_bw.ci	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/osu_latency/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
examples/charm++/osu_latency/osu_latency.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
