Initializing POSE...  
POSE initialization complete.
Using endTime of 10000000 for termination.
Starting simulation...
for 16 PEs, connectivity 5... 
the diameter is: 3, average internode distance = 1.843750
1 80 95
1 95 110
1 110 125
1 125 140
1 140 155
1 155 170
1 170 185
2 50 65
2 65 80
2 80 95
2 95 110
2 110 125
2 125 140
2 140 155
2 155 170
2 170 185
5 35 50
5 50 65
5 65 80
5 80 95
5 95 110
5 110 125
5 125 140
5 140 155
5 155 170
5 170 185
7 45 60
7 60 75
7 75 90
7 90 105
7 105 120
7 120 135
7 135 150
7 150 165
7 165 180
7 180 195
8 80 95
8 95 110
8 110 125
8 125 140
8 140 155
8 155 170
8 170 185
8 185 200
10 65 80
10 80 95
10 95 110
10 110 125
10 125 140
10 140 155
10 155 170
10 170 185
10 185 200
11 70 85
11 85 100
11 100 115
11 115 130
11 130 145
11 145 160
11 160 175
11 175 190
13 25 40
13 40 55
13 55 70
13 70 85
13 85 100
13 100 115
13 115 130
13 130 145
13 145 160
13 160 175
13 175 190
13 190 205
15 55 70
15 70 85
15 85 100
15 100 115
15 115 130
15 130 145
15 145 160
15 160 175
15 175 190
0 0 15
0 15 30
0 30 45
0 45 60
0 60 75
0 75 90
0 90 105
0 105 120
0 120 135
0 135 150
0 150 165
0 165 180
0 180 195
0 195 210
0 210 225
0 225 240
0 240 255
0 255 270
3 5 20
3 20 35
3 35 50
3 50 65
3 65 80
3 80 95
3 95 110
3 110 125
3 125 140
3 140 155
3 155 170
3 170 185
3 185 200
3 200 215
3 215 230
4 5 20
4 20 35
4 35 50
4 50 65
4 65 80
4 80 95
4 95 110
4 110 125
4 125 140
4 140 155
4 155 170
4 170 185
4 185 200
4 200 215
4 215 230
4 230 245
4 245 260
4 260 275
4 275 290
6 25 40
6 40 55
6 55 70
6 70 85
6 85 100
6 100 115
6 115 130
6 130 145
6 145 160
6 160 175
6 175 190
6 190 205
6 205 220
6 220 235
6 235 250
9 45 60
9 60 75
9 75 90
9 90 105
9 105 120
9 120 135
9 135 150
9 150 165
9 165 180
9 180 195
9 195 210
9 210 225
9 225 240
9 240 255
12 55 70
12 70 85
12 85 100
12 100 115
12 115 130
12 130 145
12 145 160
12 160 175
12 175 190
12 190 205
12 205 220
14 45 60
14 60 75
14 75 90
14 90 105
14 105 120
14 120 135
14 135 150
14 150 165
14 165 180
14 180 195
14 195 210
14 210 225
14 225 240
14 240 255
14 255 270
1 185 200
1 200 215
1 215 230
1 230 245
1 245 260
1 260 275
1 275 290
1 290 305
1 305 320
1 320 335
1 335 350
1 350 365
2 185 200
2 200 215
2 215 230
2 230 245
2 245 260
2 260 275
2 275 290
2 290 305
2 305 320
2 320 335
2 335 350
2 350 365
2 365 380
5 185 200
5 200 215
5 215 230
5 230 245
5 245 260
5 260 275
5 275 290
5 290 305
5 305 320
5 320 335
5 335 350
5 350 365
5 365 380
5 380 395
7 195 210
7 210 225
7 225 240
7 240 255
7 255 270
7 270 285
7 285 300
7 300 315
7 315 330
7 330 345
7 345 360
7 360 375
7 375 390
7 390 405
7 405 420
15 190 205
15 205 220
15 220 235
15 235 250
15 250 265
15 265 280
15 280 295
15 295 310
15 310 325
15 325 340
15 340 355
15 355 370
8 200 215
8 215 230
8 230 245
8 245 260
8 260 275
8 275 290
8 290 305
8 305 320
8 320 335
8 335 350
8 350 365
8 365 380
8 380 395
8 395 410
8 410 425
8 425 440
10 200 215
10 215 230
10 230 245
10 245 260
10 260 275
10 275 290
10 290 305
10 305 320
10 320 335
10 335 350
10 350 365
10 365 380
10 380 395
10 395 410
10 410 425
10 425 440
11 190 205
11 205 220
11 220 235
11 235 250
11 250 265
11 265 280
11 280 295
11 295 310
11 310 325
11 325 340
11 340 355
11 355 370
11 370 385
11 385 400
11 400 415
11 415 430
12 220 235
12 235 250
12 250 265
12 265 280
12 280 295
12 295 310
12 310 325
12 325 340
12 340 355
12 355 370
12 370 385
12 385 400
12 400 415
12 415 430
13 205 220
13 220 235
13 235 250
13 250 265
13 265 280
13 280 295
13 295 310
13 310 325
13 325 340
13 340 355
13 355 370
13 370 385
13 385 400
13 400 415
13 415 430
13 430 445
13 445 460
1 365 380
1 380 395
1 395 410
1 410 425
1 425 440
1 440 455
1 455 470
1 470 485
1 485 500
1 500 515
1 515 530
1 530 545
3 230 245
3 245 260
3 260 275
3 275 290
3 290 305
3 305 320
3 320 335
3 335 350
3 350 365
3 365 380
3 380 395
3 395 410
3 410 425
3 425 440
3 440 455
3 455 470
3 470 485
3 485 500
3 500 515
3 515 530
6 250 265
6 265 280
6 280 295
6 295 310
6 310 325
6 325 340
6 340 355
6 355 370
6 370 385
6 385 400
6 400 415
6 415 430
6 430 445
6 445 460
6 460 475
6 475 490
6 490 505
6 505 520
9 255 270
9 270 285
9 285 300
9 300 315
9 315 330
9 330 345
9 345 360
9 360 375
9 375 390
9 390 405
9 405 420
9 420 435
9 435 450
9 450 465
9 465 480
9 480 495
9 495 510
9 510 525
9 525 540
9 540 555
9 555 570
14 270 285
14 285 300
14 300 315
14 315 330
14 330 345
14 345 360
14 360 375
14 375 390
14 390 405
14 405 420
14 420 435
14 435 450
14 450 465
14 465 480
14 480 505
14 505 520
14 520 535
14 535 550
14 550 565
14 565 580
15 370 385
15 385 400
15 400 415
15 415 430
15 430 445
15 445 460
15 460 475
15 475 490
15 490 505
15 505 520
15 520 535
15 535 550
15 550 565
15 565 580
15 580 595
0 270 285
0 285 300
0 300 315
0 315 330
0 330 345
0 345 360
0 360 375
0 375 390
0 390 415
0 415 440
0 440 455
0 455 470
0 470 485
0 485 500
0 500 515
0 515 530
0 530 545
0 545 560
0 560 575
0 575 590
0 590 605
0 605 620
0 620 635
0 635 650
1 545 560
1 560 575
1 575 590
1 590 605
1 605 620
1 620 635
1 635 650
1 650 665
1 665 680
2 380 395
2 395 410
2 410 425
2 425 440
2 440 455
2 455 470
2 470 485
2 485 500
2 500 515
2 515 530
2 530 545
2 545 560
2 560 575
2 575 590
2 590 605
2 605 620
2 620 645
2 645 660
2 660 675
4 290 305
4 305 320
4 320 335
4 335 360
4 360 385
4 445 460
4 460 475
4 475 490
4 490 505
4 505 530
4 530 545
4 545 560
4 560 575
4 575 600
4 600 625
4 625 650
4 650 665
4 665 680
4 680 695
5 395 410
5 410 425
5 425 440
5 440 455
5 455 470
5 470 485
5 485 500
5 500 515
5 515 530
5 530 545
5 545 560
5 560 575
5 575 590
5 590 605
5 605 620
5 620 635
5 635 650
7 420 435
7 435 450
7 450 465
7 465 480
7 480 495
7 495 510
7 510 525
7 525 540
7 540 555
7 555 570
7 570 585
7 585 600
7 600 615
7 615 630
7 630 645
7 645 660
7 660 675
8 440 455
8 455 470
8 470 485
8 485 500
8 500 515
8 515 530
8 530 545
8 545 560
8 560 575
8 575 590
8 590 605
8 605 620
8 620 635
8 635 650
8 650 665
10 440 455
10 455 470
10 470 485
10 485 500
10 500 515
10 515 530
10 530 545
10 545 560
10 560 575
10 575 590
10 590 605
10 605 620
10 620 635
10 635 650
10 650 665
10 665 680
11 430 445
11 445 460
11 460 475
11 475 490
11 490 505
11 505 520
11 520 535
11 535 550
11 550 565
11 565 580
11 580 595
11 595 610
11 610 625
11 625 640
11 640 655
11 655 670
12 430 445
12 445 460
12 460 475
12 475 490
12 490 505
12 505 520
12 520 535
12 535 550
12 550 565
12 565 580
12 580 595
12 595 610
12 610 625
12 625 640
12 640 655
12 655 670
13 460 475
13 475 490
13 490 505
13 505 520
13 520 535
13 535 550
13 550 565
13 565 580
13 580 595
13 595 610
13 610 625
13 625 640
13 640 655
13 655 670
13 670 685
6 520 535
6 535 550
6 550 565
6 565 580
6 580 595
6 595 610
6 610 625
6 625 640
6 640 655
6 655 670
6 670 685
6 685 700
6 700 715
6 715 730
6 730 745
6 745 760
6 760 785
6 785 800
6 800 815
6 815 830
6 830 845
9 570 585
9 585 600
9 600 615
9 615 630
9 630 645
9 645 660
9 660 675
9 675 690
9 690 705
9 705 720
9 720 735
9 735 750
9 750 765
9 765 780
9 780 795
9 795 810
9 810 825
15 595 610
15 610 625
15 625 640
15 640 655
15 655 670
15 670 685
15 685 700
15 700 715
15 715 730
15 730 745
15 745 760
15 760 775
15 775 790
15 790 805
15 805 820
1 680 695
1 695 710
1 710 725
1 725 740
1 740 755
1 755 770
1 770 785
1 785 800
1 800 815
1 815 830
1 830 845
1 845 860
1 860 875
3 530 545
3 545 560
3 560 585
3 585 600
3 600 615
3 615 630
3 630 645
3 645 660
3 660 675
3 675 690
3 690 705
3 705 720
3 720 735
3 735 750
3 750 765
3 765 780
3 780 795
3 795 810
3 810 825
3 825 840
7 675 690
7 690 705
7 705 720
7 720 735
7 735 750
7 750 765
7 765 780
7 780 795
7 795 810
7 810 825
7 825 850
7 850 865
7 865 880
7 880 895
7 895 910
7 910 925
8 665 680
